Phase,Readiness,Account,Customer,Branch,Rev 2024,Rev 2025,YoY%,Trend,Parts,Filters,Consistent,Equipment,Peak Season,Stock Cost,Sell Value,Annual Margin,GM%,Bin ROI
2,60,1474701,PROFESSIONAL PAVEMENT SERVICES,Dublin,22519,19351,-0.141,Declining,9,5,9,"Case Backhoes, ZZ",Spring,4020.85,6235.21,2214.36,0.355137998559792,1.55071937525648
2,60,1372592,PERMA POOLS CORPORATION,Indianapolis,720,16950,22.441,Growing,1,1,1,Kobelco Excavators,Winter,333.12,542.52,209.4,0.385976553859766,1.6286023054755
2,60,1210019,A P I CONSTRUCTION CORPORATION,Fort Wayne,21791,16426,-0.247,Declining,4,2,4,Bomag,Fall,663.75,1081.12,417.37,0.386053352079325,1.62880602636535
2,60,650050,K & A EXCAVATING,Burlington,6786,11205,0.651,Growing,2,2,2,Case,Fall,1148.4,1780.72,632.32,0.355092322206748,1.55060954371299
2,60,299134,YARIAN BROTHERS CONSTRUCTION,North Canton,38541,10968,-0.715,Declining,8,5,8,"Kobelco, WB",Winter,3192.01,5199.16,2007.15,0.386052746982205,1.62880442103878
2,60,267773,MUSHRUSH UTILITY CONTRACTING,North Canton,10630,10265,-0.034,Declining,7,4,7,"Case, Bomag",Spring,3066.16,4754.38,1688.22,0.355087308965628,1.55059749002009
2,60,969651,CITY OF NORTH RIDGEVILLE,Brunswick,19230,9989,-0.481,Declining,4,3,4,"Kobelco Excavators, Case",Fall,536.58,874.08,337.5,0.386120263591433,1.6289835625629
2,60,2079188,TCI FLATWORK,Novi,10699,8951,-0.163,Declining,7,6,7,Case,Fall,2346.32,3638.22,1291.9,0.355091225929163,1.55060690783866
2,60,669644,NORTHERN KENTUCKY WATER,Burlington,15049,8949,-0.405,Declining,7,6,7,"Case Backhoes, GE",Summer,1312.44,2037.92,725.48,0.355990421606344,1.55277193624089
2,60,3047190,WILLIAMS AND SONS EXCAVATING,Dublin,8524,8111,-0.048,Declining,3,3,3,Case,Spring,477.04,739.74,262.7,0.355124773569092,1.55068757336911
2,60,3044564,GETCHELL BROTHERS INC,Indianapolis,4893,8002,13.142,Growing,2,1,2,Kubota,Spring,424.26,726.19,301.93,0.41577273165425,1.71166265968981
2,60,1376744,REPUBLIC SERVICES,Mansfield,30868,7785,-0.748,Declining,6,6,6,Case,Spring,2031.84,3150.56,1118.72,0.355086079934996,1.55059453500276
2,60,2047882,ITALIA CONSTRUCTION INC,Novi,26122,7699,-0.705,Declining,5,3,5,"Case Backhoes, Case",Spring,1106.88,1716.5,609.62,0.355152927468686,1.55075527609136
2,60,293640,R T VERNAL PAVING,North Canton,16182,7434,-0.541,Declining,7,6,7,"Kobelco, Bomag, Etnyre",Summer,1462.79,2129.84,667.05,0.313192540284716,1.45601214118226
2,60,1863502,MASCARO CONSTRUCTION CO,Brilliant,4329,6637,0.533,Growing,2,2,2,,Fall,379.53,618.33,238.8,0.38620154286546,1.62919927278476
2,60,576413,REICHERT EXC INC,Dublin,9222,5854,-0.365,Declining,3,3,3,"Kobelco, Bomag",Spring,839.41,1367.3,527.89,0.386082059533387,1.62888219106277
2,60,952394,KIPTON PROPERTIES,Brunswick,33985,5601,-0.835,Declining,8,4,8,"Kobelco, Case",Summer,2222.94,3525.62,1302.68,0.369489621683562,1.58601671660054
2,60,2027697,DETROIT READY MIX,Novi,6207,5302,-0.146,Declining,3,3,3,Case,Spring,496.56,769.92,273.36,0.355049875311721,1.55050749154181
2,60,655900,JOE LAY & SONS PLUMBING INC,Burlington,20857,3690,-0.823,Declining,6,3,6,"Case Backhoes, Kobelco Excavators",Summer,657.13,1018.98,361.85,0.355110011972757,1.55065207797544
